,,,,,,,,,,
,Sectors to select from:,Display on the website,alpha,beta,gamma,sum,,,Assimilated to (to derive alpha beta gamma),
,Technology / Software / IT,Take a look at your sector's potential across all contribution dimensions!,27%,27%,8%,62%,"""The Technology & IT sector has strong contributive potential among the 100+ sub-sectors analysed by the CCF, enabling systemic change across all industries through digital solutions.""",,J58.2,Software publishing
,Marketing / Advertising / Communications,Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!,,,,0%,,,,
,Media / Entertainment / Publishing,Take a look at your sector's potential across all contribution dimensions!,22%,12%,4%,38%,"""The Media & Entertainment sector has meaningful contributive potential among the 100+ sub-sectors analysed by the CCF, with unique capacity to shape narratives and behaviors.""",,91.02,Museums activities
,Professional Services / Consulting,Take a look at your sector's potential across all contribution dimensions!,8%,18%,5%,31%,"""The Professional Services sector has notable contributive potential among the 100+ sub-sectors analysed by the CCF, advising and enabling transformation across all industries.""",,70.22,Business and other management consultancy activities
,Accounting / Audit / Tax / Legal Services / HR,Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!,,,,0%,,,,
,Financial Services / Banking,Dedicated methodology will be developed shortly for financial institutions - keep in touch!,,,,0%,,,,
,Insurance,Dedicated methodology will be developed shortly for financial institutions - keep in touch!,,,,0%,,,,
,Real Estate,Take a look at your sector's potential across all contribution dimensions!,61%,18%,10%,89%,"""The Real Estate sector has one of the highest contributive potentials among the 100+ sub-sectors analysed by the CCF, with significant influence on built environment and urban systems.""",,68.20,Rental and operating of own or leased real estate
,Construction / Infrastructure,Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!,63%,24%,4%,91%,,,41.10,Development of building projects
,Manufacturing / Industrial / Engineering,Take a look at your sector's potential across all contribution dimensions!,34%,27%,4%,65%,"""The Manufacturing & Industrial sector has strong contributive potential among the 100+ sub-sectors analysed by the CCF, with key leverage on production systems and material efficiency.""",,27.12,Manufacture of electricity distribution and control apparatus
,Automotive,Take a look at your sector's potential across all contribution dimensions!,59%,24%,4%,88%,"""The Automotive sector has one of the highest contributive potentials among the 100+ sub-sectors analysed by the CCF, driving innovation in clean mobility and manufacturing transformation.""",,29.10,Manufacture of motor vehicles
,Energy / Utilities / Oil & Gas,Take a look at your sector's potential across all contribution dimensions!,55%,35%,6%,96%,"""The Energy & Utilities sector ranks among the top 3 highest contributive potentials among the 100+ sub-sectors analysed by the CCF, given its foundational role in powering the transition.""",,35.11,Production of electricity
,Oil & Gas,Take a look at your sector's potential across all contribution dimensions!,80%,9%,10%,99%,"""The Oil & Gas sector has the highest contributive potential among the 100+ sub-sectors analysed by the CCF, reflecting its critical role in the climate transition.""",,06.10,Extraction of crude petroleum
,Electricity,Take a look at your sector's potential across all contribution dimensions!,55%,35%,6%,96%,"""The Electricity sector ranks among the top 3 highest contributive potentials among the 100+ sub-sectors analysed by the CCF, as a cornerstone of energy system transformation.""",,35.11,Production of electricity
,Waste,Take a look at your sector's potential across all contribution dimensions!,50%,40%,5%,95%,"""The Waste sector has one of the top 5 highest contributive potentials among the 100+ sub-sectors analysed by the CCF, with major leverage across circular economy dimensions.""",,veolia Waste,Weighted average Veolia WASTE
,Transportation / Logistics / Supply Chain,Take a look at your sector's potential across all contribution dimensions!,62%,28%,5%,95%,"""The Transportation & Logistics sector has one of the top 5 highest contributive potentials among the 100+ sub-sectors analysed by the CCF, spanning mobility, infrastructure and value chain transformation.""",,49.41,Freight transport by road
,Retail,Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!,,,,0%,,,,
,Hospitality / Travel / Tourism,Take a look at your sector's potential across all contribution dimensions!,61%,18%,10%,89%,"""The Hospitality & Tourism sector has one of the highest contributive potentials among the 100+ sub-sectors analysed by the CCF, bridging infrastructure, mobility and behavioral change.""",,68.20,Rental and operating of own or leased real estate
,Food & Beverage,Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!,,,,0%,,,,
,Healthcare / Medical / Hospitals,Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!,,,,0%,,,,
,Pharmaceuticals / Biotechnology,Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!,,,,0%,,,,
,Education / Training / E‑learning,Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!,,,,0%,,,,
,Non‑profit / NGO / Association,No dedicated methodology for public sector & Non-profit at this stage - check with us how you can leverage the corporate framework!,,,,0%,,,,
,Government / Public Sector,No dedicated methodology for public sector & Non-profit at this stage - check with us how you can leverage the corporate framework!,,,,0%,,,,
,Agriculture / Forestry / Fishing,Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!,,,,0%,,,,
,Arts / Design / Creative Services,Take a look at your sector's potential across all contribution dimensions!,22%,12%,4%,38%,"""The Arts & Creative Services sector has meaningful contributive potential among the 100+ sub-sectors analysed by the CCF, influencing culture, design and sustainable innovation.""",,91.02,Museums activities
,Consumer Goods,Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!,,,,0%,,,,
,Telecommunications,Take a look at your sector's potential across all contribution dimensions!,18%,18%,6%,41%,"""The Telecommunications sector has significant contributive potential among the 100+ sub-sectors analysed by the CCF, supporting infrastructure for sustainable connectivity.""",,61.20,Wireless telecommunications activities
,Other (please specify),Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!,,,,0%,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Take a look at your sector's potential across all contribution dimensions!,,,,,,,,,
,Weightings not yet computed for this sector - want to take part to the journey to capture your industry's true potential? Contact us!,,,,,,,,,
,Dedicated methodology will be developed shortly for financial institutions - keep in touch!,,,,,,,,,
,No dedicated methodology for public sector & Non-profit at this stage - check with us how you can leverage the corporate framework!,,,,,,,,,